ID,Name,Current Category,Proposed Category,Reason
49776,Telemecanique pneumatic valve PRD-A10 valve automation industry use,Pneumatics,Valves,valve
61889,Bosch 0 821 001 007 valve Bosch valve,Valves,Valves,valve
49855,Festo joint head for pneumatic cylinder SGS-M6 9254 suitable for industry,Pneumatics,Pneumatics,pneumatic
51461,Festo shock absorber pneumatic damper YS-16-25 6310 pneumatic damper Festo,Pneumatics,Pneumatics,pneumatic
53960,SMC swivel flange pneumatic cylinder attachment D5080,Pneumatics,Pneumatics,pneumatic
53986,Bosch pneumatic cylinder double acting 0822332203,Pneumatics,Pneumatics,pneumatic
56192,Festo MEBH-5/3E-D-1-ZSR-C solenoid valve 184497 industrial use solenoid valve,Pneumatics,Valves,valve
54534,Airtec L28320 pneumatic valve for industrial use pneumatic valve valve,Pneumatics,Valves,valve
49843,Festo silencer for pneumatic valves U-3/8-B 6843 Suitable for industry,Pneumatics,Valves,valve
49844,Festo silencer for pneumatic valve U-1/2-B 6844 Suitable for industry,Pneumatics,Valves,valve
49845,Festo silencer for pneumatic valves U3/4-B 6845 Suitable for industry,Pneumatics,Valves,valve
49847,Festo pivot pin pneumatic accessories ZNG-32 31754 Suitable for industry,Pneumatics,Pneumatics,pneumatic
49848,Festo bearing block for pneumatic cylinder LBN-40 195861 Suitable for industry,Pneumatics,Pneumatics,pneumatic
51504,Festo solenoid valve pneumatic valve MEH-5/2-5.0-B 173128 for industrial use,Pneumatics,Valves,valve
51505,Festo solenoid valve pneumatic valve MEH-5/3G-5.0-B 173140 for industrial use,Pneumatics,Valves,valve
51506,Festo solenoid valve pneumatic valve MEH-5/2-5.0-B 173128 for industrial use,Pneumatics,Valves,valve
49850,Festo foot mounting for pneumatic cylinder HP-40 150733 for industry,Pneumatics,Pneumatics,pneumatic
49851,Festo foot mounting for pneumatic cylinder HBN-20/25X2 5128 for industry,Pneumatics,Pneumatics,pneumatic
49854,Festo multiple connector pneumatic accessories KSV-5 7557 suitable for industry,Pneumatics,Pneumatics,pneumatic
54497,Festo LRMA-QS-6 pressure control valve 153496 for industrial use valve,Pneumatics,Valves,valve
51533,Danfoss solenoid valve 121122222023 280/4.5/MG38F solenoid valve from Danfoss,Pneumatics,Valves,valve
56227,Festo HE-D-MINI on-off valve 170681 Festo HE-D-MINI on-off valve 170681 17,Pneumatics,Valves,valve
54606,Bosch pneumatic cylinder double-acting Ø40/200mm 0 822 221007 penumatic cylinder,Pneumatics,Pneumatics,pneumatic
51546,"Honeywell Lucifer Skinner Valve V53-AARA-1100D Magnetventil 24V DC 7 bar 1,6 mm",Valves,Valves,valve
49864,Festo solenoid valve pneumatic valve DIDACTIC 151432 suitable for industry,Pneumatics,Valves,valve
51560,Festo end plate for valve island CPX-EPR-EV 195714 End plate for valve island,Pneumatics,Valves,valve
51561,Festo end plate for valve island MPA1-FB-EPL-G 533370 CPX-EPL-EV 195716 Festo,Pneumatics,Valves,valve
51562,Festo standard cylinder pneumatic cylinder DSNU-25-160-PPV-A 19250 for industry,Pneumatics,Pneumatics,pneumatic
51563,Parker check valve hydraulic valve CPOM2DDV56 hydraulic valve from Parker,Valves,Valves,valve
56596,DruVa SMD 650-16 valve unit for industrial use DruVa SMD 650-16 valve,Valves,Valves,valve
51584,Festo pressure control valve LRMA-QS-8 153497 Pressure control valve from Festo for industry,Pneumatics,Valves,valve
51583,Festo solenoid valve pneumatic valve MC-2-1/8 2187 pneumatic valve from Festo,Pneumatics,Valves,valve
51582,Festo solenoid valve pneumatic valve MCH-3-1/8 solenoid valve from Festo Industrie,Pneumatics,Valves,valve
51586,Festo compact cylinder pneumatic cylinder ADVU-20-20-P-A pneumatic cylinder Festo,Pneumatics,Pneumatics,pneumatic
51588,Festo AND element pneumatic valve ZK-1/8B 66880 pneumatic valve from Festo,Pneumatics,Valves,valve
51587,Festo compact cylinder pneumatic cylinder ADVU-20-20-P-A pneumatic cylinder Festo,Pneumatics,Pneumatics,pneumatic
51589,Festo Kompaktzylinder Pneumaticzylinder ADVU-16-5-APA-S2 156051 Industrie,Pneumatics,Pneumatics,pneumatic
51590,Festo compact cylinder pneumatic cylinder ADV-16-5-A pneumatic cylinder Festo,Pneumatics,Pneumatics,pneumatic
51595,Festo throttle check valve GR-1/8B 151215 Throttle check valve from Festo,Pneumatics,Valves,valve
51594,Festo distribution block pneumatic block FR-8-1/4 distribution pneumatic block from Festo,Pneumatics,Pneumatics,pneumatic
51591,Festo compact cylinder pneumatic cylinder ADV-20-10-A compact cylinder Festo,Pneumatics,Pneumatics,pneumatic
51596,Festo throttle check valve GR-1/8B 151215 Throttle check valve from Festo,Pneumatics,Valves,valve
54790,FOXBORO 13FA-MS31A5 Pneumatic liquid transmitter - for industrial use,Pneumatics,Pneumatics,pneumatic
51597,Festo pressure control valve LRMA-QS-6 153496 Pressure control valve from Festo for industry,Pneumatics,Valves,valve
51602,Festo pressure switch pneumatic switch PEV-1/4-B 10773 pressure switch from Festo,Pneumatics,Pneumatics,pneumatic
51609,Festo valve block VMPA1-FB-EMS-8 4x 533342 valve block from Festo Industrie,Pneumatics,Valves,valve
54721,Bosch pneumatic cylinder double-acting Ø63/160mm 0 822 343 006 10bar cylinder,Pneumatics,Pneumatics,pneumatic
51618,Festo solenoid valve directional control valve CJM-5/2-1/4-CH 5955 solenoid valve from Festo,Pneumatics,Valves,valve
54864,Pneumatic Center solenoid valve 5/2-way G1/8 monostable 5218-5113-02 solenoid valve,Pneumatics,Valves,valve
51619,Festo flat cylinder pneumatic cylinder DZF-32-25-P-A 164040 pneumatic cylinder,Pneumatics,Pneumatics,pneumatic
51620,Festo Solenoid valve Pneumatic valve MEH-5/2-4.0-I 35035 Pneumatic valve,Pneumatics,Valves,valve
51628,Bürkert solenoid valve 6106 C 0.9 FPM PA 24V 137459 solenoid valve from Bürkert,Pneumatics,Valves,valve
56316,Festo DNU-63-100-PPV-A pneumatic cylinder 14158 for industrial use,Pneumatics,Pneumatics,pneumatic
49882,Festo pneumatic coupling connection 2341 coupling suitable for industry,Pneumatics,Pneumatics,pneumatic
49885,Bosch quick exhaust valve pneumatic valve 0821302024 for industry,Pneumatics,Valves,valve
49888,Compair ball valve 1/2 ASV-2W+E ball valve suitable for the industrial sector,Pneumatics,Valves,valve
56348,Festo CPV14-GE-MP-4 valve island 18263 for industrial use valve island,Pneumatics,Valves,valve
49894,Festo throttle check valve GRLA-M5-QS-6-D 193139 for industry,Pneumatics,Valves,valve
49895,Norgren pneumatic cylinder M/6020/25 pneumatic cylinder for industry,Pneumatics,Pneumatics,pneumatic
49897,Festo controlled check valve HGL-1/4-B 530031 suitable for industry,Pneumatics,Valves,valve
49906,Festo throttle check valve GRLA-1/4-QS-6-RS-B 162967 for industry,Pneumatics,Valves,valve
56351,Rexroth R900483788 pressure reducing valve for industrial use valve,Valves,Valves,valve
49910,Festo valve distribution block FR-4-1/4C distribution block suitable for industry,Pneumatics,Valves,valve
49911,Festo throttle valve GRO-1/4 2109 throttle valve suitable for industry,Pneumatics,Valves,valve
51654,"Festo Solenoid valve Pneumatic valve MEH-5/2-5,0-S-B 173131 Pneumatic valve",Pneumatics,Valves,valve
54938,Festo H-3/8-B check valve 11690 - for industrial use check valve,Pneumatics,Valves,valve
51692,Rexroth Wefeventil solenoid valve 5572070020 mini cylinder from Rexroth Industrie,Pneumatics,Valves,valve
51682,Festo pneumatic cylinder compact cylinder ADV-50-20-A 19323 compact cylinder,Pneumatics,Pneumatics,pneumatic
51685,Rexroth mini cylinder pneumatic cylinder 5226744200 double-acting Rexroth,Pneumatics,Pneumatics,pneumatic
51686,Rexroth mini cylinder pneumatic cylinder 5226744200 double-acting Rexroth,Pneumatics,Pneumatics,pneumatic
51687,Festo solenoid valve pneumatic valve MFH-3-1/8 7802 solenoid valve from Festo,Pneumatics,Valves,valve
51688,Festo solenoid valve valve island 533347 B702 5/2-way pneumatic industrial,Pneumatics,Valves,valve
51689,Festo Solenoid valve Pneumatic valve LC-3-1/8 3737 Solenoid valve Industrie,Pneumatics,Valves,valve
51690,Festo Solenoid valve Pneumatic valve LC-3-1/8 3737 Solenoid valve Industrie,Pneumatics,Valves,valve
